,model,pixels,image,true,predicted,success,cdiff,prior_probs,predicted_probs,perturbation
0,sequential,1,2073,5,5,False,-0.7656143,"[7.0036775e-01 9.3503459e-06 6.9682960e-06 8.3299754e-03 7.6298129e-06
 2.1916100e-01 7.0149206e-02 5.7331071e-04 9.4418891e-04 4.5056228e-04]","[[[2.4112668e-27 1.5224754e-02 1.2352028e-09 9.0501318e-10 5.1428254e-19
   9.8477525e-01 7.4910468e-12 1.3790133e-26 2.3908095e-31 4.0206353e-27]]]",[569.51112973 209.54247475  31.21422849 221.93557836]
1,sequential,1,1678,2,1,True,0.2803604,"[6.6391307e-01 1.5087559e-02 2.8036040e-01 5.2784664e-05 2.9439375e-06
 1.9328527e-05 9.4551309e-05 4.0342309e-02 3.1371976e-05 9.5772833e-05]","[[[0.0000000e+00 1.0000000e+00 1.8461037e-11 0.0000000e+00 5.3332938e-38
   2.4543907e-19 2.2565702e-31 1.1916013e-20 0.0000000e+00 0.0000000e+00]]]",[363.49039743 118.5651871  103.77762977 131.89355845]
2,sequential,1,2896,8,5,True,0.09652358,"[8.92624855e-01 4.99331804e-07 1.49046855e-05 7.19282689e-05
 4.98914545e-08 9.00360849e-03 6.16863952e-04 8.06353546e-06
 9.65235829e-02 1.13569340e-03]","[[[5.1993895e-21 1.6723574e-27 1.1615987e-19 5.2095813e-26 0.0000000e+00
   1.0000000e+00 1.8747092e-20 3.9649355e-14 1.2208658e-26 0.0000000e+00]]]",[552.25332836 227.30097903 195.83672619  74.49413124]
3,sequential,1,2293,9,5,True,0.009634299,"[6.0114592e-01 1.6747143e-09 3.0664592e-06 5.0782858e-09 5.5115446e-03
 1.6402956e-07 3.8368413e-01 3.3271610e-07 2.0513457e-05 9.6342992e-03]","[[[0.0000000e+00 8.1226536e-32 1.7989401e-20 0.0000000e+00 0.0000000e+00
   1.0000000e+00 0.0000000e+00 0.0000000e+00 4.6969993e-24 4.3142872e-17]]]",[691.34067552 237.21418125 176.2561613  143.49438046]
4,sequential,1,9634,0,7,True,0.04953092,"[4.9530920e-02 6.6998446e-01 6.9455700e-03 5.1453087e-02 1.5870655e-06
 3.4442481e-05 6.8632668e-05 5.8168288e-02 1.6373087e-01 8.2187915e-05]","[[[0.0000000e+00 0.0000000e+00 2.8976962e-36 1.1362716e-11 0.0000000e+00
   0.0000000e+00 0.0000000e+00 1.0000000e+00 0.0000000e+00 0.0000000e+00]]]",[197.24303908 156.50456038 133.75043221  34.94239489]
5,sequential,1,4814,6,5,True,0.2763974,"[5.8632886e-01 8.7111490e-03 1.0339478e-04 1.0100779e-03 3.7532739e-02
 2.1048696e-05 2.7639741e-01 3.9327819e-02 4.6470779e-04 5.0102793e-02]","[[[9.7180224e-31 1.6236728e-01 1.0400213e-08 0.0000000e+00 0.0000000e+00
   8.3761811e-01 5.2667060e-34 1.4563422e-05 7.5646764e-32 0.0000000e+00]]]",[656.60936697 197.47284655 216.96880431  32.61796236]
6,sequential,1,2648,9,7,True,0.055251542,"[8.9378810e-01 2.1169120e-05 3.4960795e-03 9.1764319e-04 4.0542443e-07
 4.2164735e-02 3.0267931e-06 8.4251090e-04 3.5146764e-03 5.5251542e-02]",[[[0. 0. 0. 0. 0. 0. 0. 1. 0. 0.]]],[769.9560119  253.32838977 106.46953849 204.95661414]
7,sequential,1,2118,6,7,True,0.1318114,"[6.6023940e-01 3.3788968e-02 1.1327909e-03 1.3033885e-02 8.5665293e-02
 2.9702456e-04 1.3181140e-01 5.2982114e-02 2.0649057e-02 4.0005438e-04]","[[[9.8700166e-25 8.9947104e-02 2.0123683e-14 1.0784566e-03 7.6756099e-18
   1.9400417e-12 2.3773179e-21 9.0897435e-01 1.2332381e-20 2.4869795e-16]]]",[356.28635391 125.02541964 102.62211888 178.18125213]
8,sequential,1,2293,9,6,True,0.009634299,"[6.0114592e-01 1.6747143e-09 3.0664592e-06 5.0782858e-09 5.5115446e-03
 1.6402956e-07 3.8368413e-01 3.3271610e-07 2.0513457e-05 9.6342992e-03]","[[[0.0000000e+00 0.0000000e+00 5.3956917e-14 0.0000000e+00 0.0000000e+00
   9.4316967e-22 1.0000000e+00 3.0034669e-27 4.7510632e-38 0.0000000e+00]]]",[110.9163113  240.86377477 171.65403326 107.48976697]
9,sequential,1,2118,6,3,True,0.1318114,"[6.6023940e-01 3.3788968e-02 1.1327909e-03 1.3033885e-02 8.5665293e-02
 2.9702456e-04 1.3181140e-01 5.2982114e-02 2.0649057e-02 4.0005438e-04]","[[[0.0000000e+00 8.3964214e-19 0.0000000e+00 1.0000000e+00 6.9337681e-11
   2.3446389e-14 1.3953030e-36 0.0000000e+00 0.0000000e+00 1.8028256e-23]]]",[535.53062969 151.57693099 113.59491175  21.44747782]
